"Taxa";"Protein";"Predicted_water_absorption";"Milling_yield";"Mixing energy";"Rmax";"Extensibility"
"1";"G1253";12.3032385802071;NA;NA;NA;NA;NA
"2";"G1256";13.3532385802071;NA;NA;NA;NA;NA
"3";"G1259";12.9532385802071;NA;NA;NA;NA;NA
"4";"G1262";12.3532385802071;NA;NA;NA;NA;NA
"5";"G1265";14.4532385802071;NA;NA;NA;NA;NA
"6";"G1247";12.5532385802071;NA;NA;NA;NA;NA
"7";"G1249";12.9032385802071;NA;NA;NA;NA;NA
"8";"G1251";12.8032385802071;NA;NA;NA;NA;NA
"9";"G1254";14.2032385802071;NA;NA;NA;NA;NA
"10";"G1257";14.9532385802071;NA;NA;NA;NA;NA
"11";"G1260";13.1532385802071;NA;NA;NA;NA;NA
"12";"G1263";13.4532385802071;NA;NA;NA;NA;NA
"13";"G1266";13.6532385802071;NA;NA;NA;NA;NA
"14";"G1248";13.4532385802071;NA;NA;NA;NA;NA
"15";"G1250";13.6032385802071;NA;NA;NA;NA;NA
"16";"G1252";12.8032385802071;NA;NA;NA;NA;NA
"17";"G1255";13.3032385802071;NA;NA;NA;NA;NA
"18";"G1258";14.1532385802071;NA;NA;NA;NA;NA
"19";"G1261";14.0532385802071;NA;NA;NA;NA;NA
"20";"G1264";11.6532385802071;NA;NA;NA;NA;NA
"21";"G1267";13.9032385802071;NA;NA;NA;NA;NA
"22";"G1268";14.343537676224;NA;NA;NA;NA;NA
"23";"G1279";13.2032385802071;NA;NA;NA;NA;NA
"24";"G1291";13.2532385802071;NA;NA;NA;NA;NA
"25";"G1303";13.3032385802071;NA;NA;NA;NA;NA
"26";"G1314";12.9032385802071;NA;NA;NA;NA;NA
"27";"G1325";13.6532385802071;NA;NA;NA;NA;NA
"28";"G1337";14.0032385802071;NA;NA;NA;NA;NA
"29";"G1349";14.2532385802071;NA;NA;NA;NA;NA
"30";"G1269";13.7032385802071;NA;NA;NA;NA;NA
"31";"G1280";12.3532385802071;NA;NA;NA;NA;NA
"32";"G1292";12.9032385802071;NA;NA;NA;NA;NA
"33";"G1304";13.9343030661393;NA;NA;NA;NA;NA
"34";"G1315";14.1032385802071;NA;NA;NA;NA;NA
"35";"G1326";13.2032385802071;NA;NA;NA;NA;NA
"36";"G1338";13.4532385802071;NA;NA;NA;NA;NA
"37";"G1350";14.2568710095573;NA;NA;NA;NA;NA
"38";"G1270";13.2032385802071;NA;NA;NA;NA;NA
"39";"G1281";13.1032385802071;NA;NA;NA;NA;NA
"40";"G1293";14.0032385802071;NA;NA;NA;NA;NA
"41";"G1305";12.8532385802071;NA;NA;NA;NA;NA
"42";"G1316";14.2032385802071;NA;NA;NA;NA;NA
"43";"G1327";13.9532385802071;NA;NA;NA;NA;NA
"44";"G1339";13.8032385802071;NA;NA;NA;NA;NA
"45";"G1351";12.7532385802071;NA;NA;NA;NA;NA
"46";"G1271";12.9532385802071;NA;NA;NA;NA;NA
"47";"G1282";13.6972660291023;NA;NA;NA;NA;NA
"48";"G1294";14.3532385802071;NA;NA;NA;NA;NA
"49";"G52";13.5532385802071;NA;NA;NA;NA;NA
"50";"G1328";13.3032385802071;NA;NA;NA;NA;NA
"51";"G1340";13.1532385802071;NA;NA;NA;NA;NA
"52";"G1352";14.1532385802071;NA;NA;NA;NA;NA
"53";"G1272";13.6032385802071;NA;NA;NA;NA;NA
"54";"G1283";13.1032385802071;NA;NA;NA;NA;NA
"55";"G1295";13.9532385802071;NA;NA;NA;NA;NA
"56";"G1306";14.5032385802071;NA;NA;NA;NA;NA
"57";"G1317";13.1032385802071;NA;NA;NA;NA;NA
"58";"G1329";14.2532385802071;NA;NA;NA;NA;NA
"59";"G1341";14.1532385802071;NA;NA;NA;NA;NA
"60";"G1353";13.7032385802071;NA;NA;NA;NA;NA
"61";"G1273";14.8532385802071;NA;NA;NA;NA;NA
"62";"G1284";13.2532385802071;NA;NA;NA;NA;NA
"63";"G1296";13.2032385802071;NA;NA;NA;NA;NA
"64";"G1307";14.2032385802071;NA;NA;NA;NA;NA
"65";"G1318";14.1532385802071;NA;NA;NA;NA;NA
"66";"G1330";12.3532385802071;NA;NA;NA;NA;NA
"67";"G1342";13.6032385802071;NA;NA;NA;NA;NA
"68";"G1354";12.8032385802071;NA;NA;NA;NA;NA
"69";"G1274";13.0532385802071;NA;NA;NA;NA;NA
"70";"G1285";15.6032385802071;NA;NA;NA;NA;NA
